0,809.5,68.06,1756.37,1372.21,1588.8,1349.04,626.5,1648.87,1478.05,1446.27,993.19,420.63,771.38,1170.7,429.88,1241.87,1682.94,1314.83,225.67,879.79,242.17,705.64,575.96,753.11,511.41,1577.76,961.01,330.42,179.74,792.87,244.79,591.36,767.95,509.3,727.91,1521.84,569.9,90.05,1142.37,1826.85,1885.97,1652.59,1871.6,1771.34,1666.75,1766.95,1586.99,1675.96,951.34,1114.48,1772.03,2.32,364.91,975.91,269.16,1457.7,926.84,749.74,901.69
809.5,0,877.56,946.87,2181.71,2398.3,539.54,1436,2458.37,2287.55,636.77,1802.69,1230.13,1580.88,1980.2,379.62,2051.37,873.44,2124.33,1035.17,1689.29,1051.67,1515.14,1385.46,56.39,298.09,2387.25,1770.51,479.08,989.24,16.63,564.71,218.14,1577.45,1318.8,1537.41,2331.34,239.6,899.55,1951.86,1017.35,1076.47,2462.08,1062.1,961.84,857.25,957.46,2396.49,866.46,141.84,304.98,962.53,807.18,444.58,166.41,1078.66,648.2,117.34,1559.24,92.19
68.06,877.56,0,1824.43,1304.15,1520.74,1417.1,558.44,1580.8,1409.99,1514.34,925.13,352.57,703.32,1102.64,497.95,1173.8,1751,1246.77,157.61,811.73,174.1,637.57,507.9,821.17,579.47,1509.69,892.95,398.49,111.67,860.93,312.85,659.43,699.89,441.23,659.84,1453.78,637.96,21.98,1074.3,1894.91,1954.03,1584.52,1939.67,1839.41,1734.81,1835.02,1518.92,1744.02,1019.4,1182.54,1840.09,70.38,432.98,1043.97,201.1,1525.76,994.9,681.68,969.76
1756.37,946.87,1824.43,0,3128.58,3345.16,407.33,2382.87,3405.23,3234.42,310.09,2749.56,2177,2527.75,2927.07,1326.48,2998.23,73.43,3071.19,1982.04,2636.16,1998.53,2462,2332.33,1003.25,1244.96,3334.12,2717.38,1425.94,1936.1,963.49,1511.58,1165,2524.31,2265.66,2484.27,3278.2,1186.46,1846.41,2898.73,70.49,129.6,3408.95,115.24,14.98,89.62,10.59,3343.35,80.41,805.03,641.89,15.67,1754.04,1391.45,780.46,2025.52,298.67,829.53,2506.11,854.67
1372.21,2181.71,1304.15,3128.58,0,216.59,2721.25,745.71,276.66,105.84,2818.48,379.02,951.58,600.83,201.51,1802.09,130.34,3055.15,57.38,1146.54,492.42,1130.04,666.57,796.25,2125.32,1883.62,205.55,411.2,1702.63,1192.47,2165.08,1617,1963.57,604.26,862.91,644.3,149.63,1942.11,1282.16,229.84,3199.06,3258.18,280.38,3243.81,3143.55,3038.96,3139.16,214.78,3048.17,2323.55,2486.69,3144.24,1374.53,1737.12,2348.12,1103.05,2829.91,2299.05,622.47,2273.9
1588.8,2398.3,1520.74,3345.16,216.59,0,2937.84,962.29,60.07,110.74,3035.07,595.61,1168.16,817.42,418.1,2018.68,346.93,3271.74,273.97,1363.13,709.01,1346.63,883.16,1012.84,2341.91,2100.21,11.04,627.79,1919.22,1409.06,2381.67,1833.59,2180.16,820.85,1079.5,860.89,66.96,2158.7,1498.75,446.43,3415.65,3474.77,63.79,3460.4,3360.14,3255.55,3355.75,1.81,3264.76,2540.14,2703.28,3360.83,1591.12,1953.71,2564.7,1319.64,3046.5,2515.64,839.06,2490.49
1349.04,539.54,1417.1,407.33,2721.25,2937.84,0,1975.54,2997.9,2827.09,97.24,2342.23,1769.67,2120.42,2519.74,919.15,2590.9,333.9,2663.87,1574.71,2228.83,1591.2,2054.67,1925,595.92,837.63,2926.79,2310.05,1018.61,1528.77,556.16,1104.25,757.67,2116.98,1858.33,2076.94,2870.88,779.14,1439.08,2491.4,477.82,536.93,3001.62,522.57,422.31,317.71,417.92,2936.02,326.92,397.7,234.56,422.99,1346.71,984.12,373.13,1618.19,108.66,422.2,2098.78,447.34
626.5,1436,558.44,2382.87,745.71,962.29,1975.54,0,1022.36,851.55,2072.78,366.69,205.87,144.88,544.2,1056.39,615.36,2309.44,688.33,400.83,253.29,384.34,79.13,50.54,1379.62,1137.91,951.25,334.51,956.93,446.77,1419.38,871.29,1217.87,141.44,117.21,101.4,895.33,1196.41,536.46,515.86,2453.36,2512.47,1026.08,2498.11,2397.85,2293.25,2393.46,960.48,2302.46,1577.84,1740.98,2398.54,628.83,991.42,1602.41,357.35,2084.2,1553.34,123.24,1528.2
1648.87,2458.37,1580.8,3405.23,276.66,60.07,2997.9,1022.36,0,170.81,3095.14,655.68,1228.23,877.49,478.17,2078.75,407,3331.8,334.04,1423.19,769.08,1406.7,943.23,1072.91,2401.98,2160.28,71.11,687.85,1979.29,1469.13,2441.74,1893.65,2240.23,880.92,1139.57,920.96,127.03,2218.77,1558.82,506.5,3475.72,3534.83,3.72,3520.47,3420.21,3315.62,3415.82,61.88,3324.82,2600.2,2763.34,3420.9,1651.19,2013.78,2624.77,1379.71,3106.56,2575.7,899.12,2550.56
1478.05,2287.55,1409.99,3234.42,105.84,110.74,2827.09,851.55,170.81,0,2924.33,484.86,1057.42,706.67,307.35,1907.94,236.19,3160.99,163.22,1252.38,598.26,1235.89,772.42,902.09,2231.17,1989.46,99.7,517.04,1808.48,1298.32,2270.93,1722.84,2069.42,710.11,968.76,750.15,43.78,2047.96,1388.01,335.69,3304.91,3364.02,174.53,3349.66,3249.4,3144.8,3245.01,108.93,3154.01,2429.39,2592.53,3250.09,1480.38,1842.97,2453.96,1208.9,2935.75,2404.89,728.31,2379.75
